Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.360890388,0.5639695,-3.042601,-0.5056744,0.6641796,-0.2956684,-0.7116403,-35.50233,24.59275,15.97029,1029.038
0.363354206,0.6255779,-2.924455,-0.5056744,0.6612574,-0.2923283,-0.7034214,-35.50233,24.59275,15.97029,1029.038
0.365818500,0.3175357,-3.160748,-0.5056744,0.6558547,-0.29378,-0.710108,-35.50233,24.59275,15.97029,1029.038
0.368282318,0.1943187,-3.278894,-0.5056744,0.6602309,-0.2946873,-0.7154335,-35.50233,24.59275,15.97029,1029.038
0.370746136,0.1327103,-3.160748,-0.3835292,0.662757,-0.3010281,-0.7155266,-35.50233,24.59275,15.97029,1029.038
0.373210430,0.2559272,-3.219821,-0.3224566,0.6632863,-0.3063707,-0.7199091,-35.50233,24.59275,15.97029,1029.036
0.375674248,0.3175357,-3.278894,-0.3224566,0.6612846,-0.2995858,-0.7135785,-35.50233,24.59275,15.97029,1029.036
0.378138065,0.4407526,-3.278894,-0.4446018,0.6607835,-0.2971662,-0.7106684,-35.50233,24.59275,15.97029,1029.036
0.380602360,0.4407526,-3.219821,-0.6888922,0.6529374,-0.2967082,-0.7134742,-35.50233,24.59275,15.97029,1029.036
0.383067608,0.3791441,-3.39704,-0.566747,0.6578373,-0.3000611,-0.7183519,-35.50233,24.59275,15.97029,1029.036
0.385530472,0.3791441,-3.337967,-0.6888922,0.6643149,-0.3083499,-0.7161021,-35.50233,24.59275,15.97029,1029.036
0.387994289,0.3175357,-3.515186,-0.5056744,0.6656379,-0.3014304,-0.7241918,-35.50233,24.59275,15.97029,1029.036
0.390458107,0.4407526,-3.337967,-0.3835292,0.6587071,-0.2922225,-0.7192307,-35.50233,24.59275,15.97029,1029.036
0.392922401,0.3175357,-3.160748,-0.4446018,0.6544388,-0.2981839,-0.7111049,-35.50233,24.59275,15.97029,1029.036
0.395386219,0.2559272,-3.278894,-0.5056744,0.6583301,-0.2966902,-0.7111216,-35.50233,24.59275,15.97029,1029.036
0.397850036,0.2559272,-3.39704,-0.3835292,0.6602882,-0.2976438,-0.7125885,-35.50233,24.59275,15.97029,1029.036
0.400314331,0.1327103,-3.337967,-0.261384,0.6618041,-0.305399,-0.7203652,-35.50233,24.59275,15.97029,1029.036
0.402778149,0.1943187,-3.337967,-0.1392388,0.6558723,-0.3005449,-0.7207393,-35.50233,24.59275,15.97029,1029.036
0.405241966,0.2559272,-3.337967,-0.1392388,0.6499538,-0.2942608,-0.7162997,-35.50233,24.59275,15.97029,1029.036
0.407706261,0.3175357,-3.337967,-0.3224566,0.6470177,-0.2947586,-0.7177193,-35.50235,23.85833,15.52468,1029.036
0.410170078,0.3175357,-3.337967,-0.566747,0.6500076,-0.2981768,-0.7158644,-35.50235,23.85833,15.52468,1029.036
0.412633896,0.5023611,-3.160748,-0.5056744,0.6515377,-0.3011307,-0.7120726,-35.50235,23.85833,15.52468,1029.036
0.415098190,0.2559272,-3.160748,-0.6888922,0.655907,-0.3034753,-0.7212524,-35.50235,23.85833,15.52468,1029.037
0.417562008,0.5023611,-3.278894,-0.5056744,0.6563669,-0.302957,-0.7246089,-35.50235,23.85833,15.52468,1029.037
0.420029163,0.4407526,-3.219821,-0.2003114,0.6475382,-0.2972005,-0.7177512,-35.50235,23.85833,15.52468,1029.037
0.422490120,0.3175357,-3.219821,-0.2003114,0.6426504,-0.2972338,-0.7177095,-35.50235,23.85833,15.52468,1029.037
0.424953937,0.3791441,-3.39704,-0.4446018,0.6470276,-0.2938066,-0.7143503,-35.50235,23.85833,15.52468,1029.037
0.427417755,0.1327103,-3.278894,-0.3224566,0.6496009,-0.3050191,-0.7168974,-35.50235,23.85833,15.52468,1029.037
0.429882049,0.2559272,-3.101675,-0.261384,0.642751,-0.3069848,-0.7216583,-35.50235,23.85833,15.52468,1029.037
0.432345867,0.2559272,-3.160748,-0.4446018,0.6500229,-0.3015666,-0.7202206,-35.50235,23.85833,15.52468,1029.037
0.434809685,0.3175357,-2.983528,-0.3835292,0.6460298,-0.2976439,-0.7249399,-35.50235,23.85833,15.52468,1029.037
0.437273979,0.5023611,-2.983528,-0.4446018,0.6456083,-0.2991699,-0.7177567,-35.50235,23.85833,15.52468,1029.037
0.439737797,0.3791441,-2.924455,-0.6278196,0.6430596,-0.2928032,-0.7210216,-35.50235,23.85833,15.52468,1029.037
0.442201614,0.3791441,-2.924455,-0.566747,0.6505588,-0.306435,-0.722679,-35.50235,23.85833,15.52468,1029.037
0.444665909,0.5023611,-2.865382,-0.3224566,0.6504695,-0.3019966,-0.727426,-35.50235,23.85833,15.52468,1029.037
0.447129726,0.5023611,-2.747236,-0.3835292,0.6489908,-0.3005469,-0.7264373,-35.50235,23.85833,15.52468,1029.037
0.449593544,0.6255779,-2.688163,-0.3835292,0.6465442,-0.2981519,-0.7220714,-35.50235,23.85833,15.52468,1029.037
0.452057838,0.5639695,-2.45187,-0.3835292,0.6475096,-0.2952407,-0.7182087,-35.50235,23.85833,15.52468,1029.037
