Time (s),X (g),Y (g),Z (g)
29.753272057,0.06320497,0.003968038,-0.09595829
29.755753994,0.08069063,-0.08695231,0.03268838
29.758235455,0.07611509,-0.07164623,-0.0191743
29.760717392,0.05492957,0.03150078,-0.1229714
29.763199329,0.09153623,-0.03940463,-0.008679879
29.765680790,0.05335671,-0.06672639,0.09027235
29.768162727,0.03585117,0.04576484,-0.1081343
29.773126125,0.04524975,-0.1359639,0.1600931
29.775608063,0.05206697,0.1047141,-0.05850825
29.775608063,0.05206697,0.1047141,-0.05850825
29.780571461,0.07263555,-0.00820362,-0.01089857
29.783053398,0.03647447,0.01191644,-0.1027568
29.785534382,0.05614309,0.1334554,-0.1635862
29.788016319,0.06328882,0.0003046216,0.09005084
29.790498733,0.02970918,-0.003326716,0.005507262
29.792979717,0.06168054,0.23808,-0.15351
29.795461655,0.04954157,0.04721368,0.09523672
29.797946930,0.07737426,0.04981492,0.02515713
29.800425053,0.047524,0.2357701,-0.1674142
29.802906990,0.09404086,0.07868351,-0.07836218
29.805388451,0.06040191,0.0781932,0.0182901
29.807870388,0.07877904,0.07740007,-0.1262523
29.810352325,0.0926123,0.1590959,-0.07533053
29.812833786,0.1230078,0.01661909,0.03658907
29.815315723,0.1098082,0.1232719,-0.1005315
29.817797661,0.09914008,0.1397082,-0.1547651
29.820279121,0.1309669,0.05966696,-0.07364073
29.822761059,0.09714219,0.1128829,-0.06655355
29.825244427,0.1202614,0.09036807,-0.0483513
29.827728271,0.1097488,0.06574969,0.045025
29.830206394,0.1260853,0.09145984,-0.009725478
29.832688332,0.0997704,0.06913045,-0.06078831
29.835169792,0.1118443,0.08127598,-0.0409395
29.837656021,0.1312157,0.05499865,-0.06728724
29.840132713,0.1162253,0.09550973,-0.1264369
29.842615128,0.1210349,0.0586544,-0.08418481
29.845097065,0.131358,0.09188217,-0.0428481
29.847578049,0.08946968,0.05150548,-0.04433227
29.850063324,0.09879857,0.0996747,-0.04047836
29.852542400,0.1078793,0.04981481,0.003827931
29.855023384,0.1041624,0.1106163,-0.02886553
29.857505321,0.1099993,0.09223267,-0.0754573
29.859987259,0.1118182,0.09039068,-0.09582671
29.862468719,0.1226863,0.08391301,-0.07878232
29.864950657,0.117606,0.07259683,-0.05960133
29.867432117,0.1109474,0.07016549,-0.06699129
29.869914055,0.1430433,0.107891,-0.007578049
29.872395992,0.1221551,0.02793603,0.03976585
29.874877453,0.1372611,0.1242023,-0.1126345
29.877359390,0.1534032,0.09670425,-0.01350218
29.879841328,0.1312004,0.0002027806,0.02127342
29.882322788,0.1289454,0.1019439,-0.1100826
29.884804726,0.1332004,0.03126493,0.0763246
29.887291431,0.1430801,-0.04036462,0.005006137
29.889768124,0.1188957,0.1198814,-0.138318
29.892250061,0.1718849,-0.05066624,-0.05916962
29.894731998,0.127962,0.02790485,-0.06554115
